placeholder,type,name,met
"pl","Bicycling","Bicycling, mountain, competitive racing",16.0,
"pl","Bicycling","Bicycling, BMX",8.5,
"pl","Bicycling","Bicycling, mountain, general",8.5,
"pl","Bicycling","Bicycling, mountain, uphill, vigorous",14.0,
"pl","Bicycling","Bicycling, <10 mph, leisure, to work or for pleasure (Taylor Code 115)",4.0,
"pl","Bicycling","Bicycling, to/from work, self selected pace",6.8,
"pl","Bicycling","Bicycling, on dirt or farm road, moderate pace",5.8,
"pl","Bicycling","Bicycling, general",7.0,
"pl","Bicycling","Bicycling, self-selected easy pace",4.3,
"pl","Bicycling","Bicycling, self-selected moderate pace",7.0,
"pl","Bicycling","Bicycling, self-selected vigorous pace",9.0,
"pl","Bicycling","Bicycling, leisure 5.5 mph",3.5,
"pl","Bicycling","Bicycling, leisure, 9.4 mph",5.8,
"pl","Bicycling","Bicycling, 10-11.9 mph, leisure, slow, light effort",6.8,
"pl","Bicycling","Bicycling, 12-13.9 mph, leisure, moderate effort",8.0,
"pl","Bicycling","Bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort",10.0,
"pl","Bicycling","Bicycling, 16-19 mph, racing/not drafting or >19 mph drafting, very fast, racing general",12.0,
"pl","Bicycling","Bicycling, >20 mph, racing, not drafting",16.8,
"pl","Bicycling","Bicycling, 12 mph, seated, hands on brake hoods or bar drops, 80 rpm",8.5,
"pl","Bicycling","Bicycling, 12 mph, standing, hands on brake hoods, 60 rpm",9.0,
"pl","Bicycling","Unicycling",5.0,
"pl","Bicycling","E-bike (electrically assisted) without electronic support",6.8,
"pl","Bicycling","E-bike (electrically assisted) with light electronic support",6.0,
"pl","Bicycling","E-bike (electrically assisted) with high electronic support",4.0,
"pl","Bicycling","Bicycling, stationary, general",6.8,
"pl","Bicycling","Bicycling, stationary, 25-30 watts, very light to light effort",3.5,
"pl","Bicycling","Bicycling, stationary, 50 watts, light effort",4.0,
"pl","Bicycling","Bicycling, stationary, 60 watts, light to moderate effort",5.0,
"pl","Bicycling","Bicycling, stationary, 70-80 watts",5.8,
"pl","Bicycling","Bicycling, stationary, 90-100 watts,  moderate to vigorous",6.0,
"pl","Bicycling","Bicycling, stationary, 101-125 watts",6.8,
"pl","Bicycling","Bicycling, stationary, 126-150 watts",8.0,
"pl","Bicycling","Bicycling, stationary, 151-199 watts",10.3,
"pl","Bicycling","Bicycling, stationary, 200-229 watts, vigorous",10.8,
"pl","Bicycling","Bicycling, stationary, 230-250 watts, very vigorous",12.5,
